task,difficult,time,priority,weather,hour
Sacar la basura,3,20,Alta,Nublado,Tarde
Sacar la basura,5,30,Media,Soleado,Mañana
Organizar sala,3,15,Alta,Ventoso,Mañana
Lavar ropa,3,45,Alta,Lluvioso,Mañana
Planchar ropa,4,90,Baja,Ventoso,Tarde
Limpiar ventanas,4,90,Alta,Ventoso,Mañana
Organizar sala,4,20,Media,Ventoso,Tarde
Cocinar,1,90,Alta,Nublado,Mañana
Organizar sala,1,10,Media,Soleado,Tarde
Limpiar baño,3,15,Media,Nublado,Mañana
Lavar ropa,2,30,Media,Lluvioso,Mañana
Sacar la basura,1,20,Media,Ventoso,Noche
Cocinar,5,75,Alta,Soleado,Tarde
Cocinar,2,30,Baja,Nublado,Mañana
Lavar platos,1,90,Media,Soleado,Mañana
Sacar la basura,1,75,Media,Nublado,Noche
Regar plantas,4,90,Alta,Soleado,Tarde
Lavar ropa,1,90,Baja,Soleado,Mañana
Lavar ropa,3,90,Baja,Soleado,Tarde
Barrer,5,90,Baja,Nublado,Tarde
Limpiar baño,3,15,Alta,Ventoso,Noche
Limpiar ventanas,2,45,Baja,Ventoso,Tarde
Tender cama,1,60,Baja,Nublado,Mañana
Planchar ropa,2,45,Alta,Lluvioso,Mañana
Limpiar ventanas,3,75,Baja,Lluvioso,Mañana
Lavar ropa,2,20,Baja,Nublado,Mañana
Organizar sala,1,75,Baja,Lluvioso,Noche
Limpiar ventanas,4,90,Baja,Nublado,Mañana
Cocinar,3,60,Baja,Nublado,Noche
Cocinar,2,90,Baja,Lluvioso,Noche
Regar plantas,1,20,Baja,Ventoso,Noche
Limpiar baño,1,60,Baja,Lluvioso,Tarde
Organizar sala,2,60,Media,Nublado,Mañana
Organizar sala,4,30,Baja,Soleado,Tarde
Limpiar ventanas,5,45,Alta,Soleado,Mañana
Planchar ropa,1,10,Baja,Ventoso,Tarde
Limpiar cocina,3,10,Media,Nublado,Mañana
Lavar ropa,3,75,Alta,Ventoso,Mañana
Limpiar baño,2,15,Baja,Lluvioso,Mañana
Tender cama,2,45,Alta,Nublado,Mañana
Pasar la aspiradora,2,90,Media,Lluvioso,Tarde
Organizar sala,5,30,Alta,Nublado,Noche
Lavar platos,5,10,Media,Nublado,Mañana
Barrer,1,20,Baja,Lluvioso,Mañana
Sacar la basura,5,20,Media,Lluvioso,Tarde
Tender cama,4,10,Media,Nublado,Noche
Lavar platos,3,15,Alta,Nublado,Mañana
Limpiar cocina,3,90,Alta,Ventoso,Tarde
Limpiar ventanas,4,30,Baja,Soleado,Mañana
Cocinar,2,30,Alta,Soleado,Mañana
Sacar la basura,3,75,Baja,Soleado,Noche
Limpiar baño,2,10,Alta,Nublado,Tarde
Cocinar,5,90,Media,Nublado,Noche
Barrer,3,20,Alta,Soleado,Mañana
Cocinar,4,75,Alta,Soleado,Noche
Limpiar baño,4,20,Alta,Nublado,Mañana
Planchar ropa,2,45,Alta,Lluvioso,Mañana
Regar plantas,5,60,Alta,Ventoso,Mañana
Lavar ropa,3,90,Media,Nublado,Noche
Organizar sala,1,60,Media,Nublado,Tarde
Planchar ropa,4,15,Alta,Soleado,Tarde
Tender cama,5,20,Alta,Nublado,Mañana
Limpiar ventanas,2,90,Baja,Lluvioso,Noche
Sacar la basura,4,10,Alta,Ventoso,Tarde
Cocinar,3,20,Media,Ventoso,Noche
Planchar ropa,3,75,Alta,Ventoso,Tarde
Limpiar baño,5,10,Media,Lluvioso,Noche
Lavar ropa,3,20,Baja,Nublado,Mañana
Limpiar ventanas,2,60,Baja,Lluvioso,Mañana
Regar plantas,1,90,Baja,Nublado,Noche
Limpiar baño,1,10,Baja,Lluvioso,Tarde
Barrer,2,20,Baja,Lluvioso,Mañana
Organizar sala,5,30,Media,Lluvioso,Tarde
Lavar ropa,5,15,Media,Ventoso,Noche
Regar plantas,1,15,Alta,Lluvioso,Noche
Sacar la basura,2,75,Media,Soleado,Mañana
Tender cama,3,90,Media,Soleado,Noche
Regar plantas,5,90,Baja,Lluvioso,Noche
Limpiar ventanas,2,30,Alta,Ventoso,Noche
Barrer,4,90,Alta,Ventoso,Mañana
Regar plantas,2,15,Alta,Soleado,Mañana
Barrer,2,15,Media,Lluvioso,Noche
Organizar sala,4,45,Baja,Ventoso,Noche
Lavar ropa,5,90,Baja,Lluvioso,Noche
Lavar platos,3,30,Baja,Lluvioso,Tarde
Barrer,4,75,Alta,Nublado,Noche
Limpiar ventanas,1,75,Baja,Nublado,Mañana
Limpiar baño,4,90,Media,Lluvioso,Noche
Lavar ropa,3,20,Alta,Nublado,Mañana
Lavar platos,4,30,Media,Nublado,Noche
Sacar la basura,4,75,Media,Soleado,Mañana
Limpiar cocina,5,60,Alta,Lluvioso,Mañana
Regar plantas,4,45,Media,Soleado,Tarde
Regar plantas,5,15,Media,Soleado,Mañana
